iter	Passed	Remaining
407	5875	1324
408	5891	1310
409	5905	1296
410	5918	1281
411	5930	1266
412	5945	1252
413	5959	1237
414	5973	1223
415	5988	1209
416	6001	1194
417	6015	1180
418	6029	1165
419	6045	1151
420	6058	1136
421	6073	1122
422	6086	1107
423	6099	1093
424	6113	1078
425	6126	1064
426	6141	1050
427	6155	1035
428	6171	1021
429	6184	1006
430	6198	992
431	6211	977
432	6226	963
433	6241	949
434	6255	934
435	6269	920
436	6283	905
437	6297	891
438	6310	876
439	6322	862
440	6337	847
441	6351	833
442	6364	818
443	6378	804
444	6392	790
445	6404	775
446	6417	760
447	6432	746
448	6445	732
449	6461	717
450	6477	703
451	6490	689
452	6503	674
453	6516	660
454	6531	645
455	6545	631
456	6559	617
457	6574	602
458	6588	588
459	6601	574
460	6614	559
461	6628	545
462	6642	530
463	6656	516
464	6669	502
465	6687	487
466	6702	473
467	6717	459
468	6734	445
469	6750	430
470	6768	416
471	6784	402
472	6800	388
473	6815	373
474	6832	359
475	6848	345
476	6876	331
477	6893	317
478	6909	302
479	6927	288
480	6947	274
481	6968	260
482	6984	245
483	7000	231
484	7014	216
485	7028	202
486	7043	188
487	7060	173
488	7077	159
489	7093	144
490	7108	130
491	7126	115
492	7141	101
493	7155	86
494	7170	72
495	7187	57
496	7201	43
497	7217	28
498	7233	14
499	7248	0
