iter	MultiClass
0	1.072453383
1	1.051980938
2	1.033091997
3	1.017777658
4	0.9993913704
5	0.9839325834
6	0.9715898297
7	0.956057037
8	0.9440464044
9	0.9332418244
10	0.9227538032
11	0.9134067011
12	0.9064406088
13	0.8958910547
14	0.8866625623
15	0.8783471788
16	0.8715636849
17	0.864716381
18	0.8569646416
19	0.8502902059
20	0.8441101997
21	0.8372840357
22	0.831598387
23	0.824756076
24	0.8204275808
25	0.8145986332
26	0.8087859735
27	0.8035586125
28	0.798502881
29	0.7939671202
30	0.7879550188
31	0.7835335708
32	0.7797565562
33	0.7756250145
34	0.7724050163
35	0.7695836704
36	0.7653203158
37	0.7621638387
38	0.7579595161
39	0.753245929
40	0.7497131568
41	0.7450665962
42	0.7415754782
43	0.738222397
44	0.7346655207
45	0.7327135204
46	0.7292045017
47	0.7258513943
48	0.722647064
49	0.7193564638
50	0.7160737491
51	0.7133598116
52	0.7099619008
53	0.7083509561
54	0.7064444304
55	0.7037539986
56	0.7019473844
57	0.69950158
58	0.6958293023
59	0.6934333639
60	0.6911991721
61	0.6876593115
62	0.6850236517
63	0.6830122062
64	0.6804742311
65	0.6780573372
66	0.675072147
67	0.6737888682
68	0.6719420822
69	0.6690330581
70	0.6673373624
71	0.6651404197
72	0.6629909481
73	0.6602769718
74	0.6585091257
75	0.656620333
76	0.6550566901
77	0.6532970898
78	0.652066277
79	0.6501002741
80	0.6480135926
81	0.6454962515
82	0.6427326963
83	0.6417680996
84	0.6403086881
85	0.6386424833
86	0.6371791493
87	0.6348942449
88	0.632174712
89	0.6301119819
90	0.6281869006
91	0.6265786873
92	0.6241713448
93	0.6224702444
94	0.6214094508
95	0.6194347859
96	0.6172877654
97	0.6162388643
98	0.6151584195
99	0.6131595275
100	0.6119436609
101	0.6098443299
102	0.6086928348
103	0.6082915794
104	0.6066179553
105	0.6056913169
106	0.6048053365
107	0.602422415
108	0.6009885956
109	0.5994706994
110	0.5981698221
111	0.5971662149
112	0.5959855545
113	0.594379814
114	0.5923721105
115	0.5908140026
116	0.5890891581
117	0.5883336918
118	0.5873724575
119	0.5852860812
120	0.5842509488
121	0.5838292419
122	0.5825728634
123	0.5813962587
124	0.5801236663
125	0.5789147752
126	0.5767074253
127	0.5751425078
128	0.574569837
129	0.5731008484
130	0.5709701816
131	0.5696115906
132	0.5683234606
133	0.5670627091
134	0.56584653
135	0.5653310334
136	0.5637434388
137	0.5624534249
138	0.5607982604
139	0.5600923116
140	0.5591082729
141	0.5576076242
142	0.5566491562
143	0.5552838627
144	0.5539953278
145	0.553094318
146	0.5516776543
147	0.5509989937
148	0.5503174901
149	0.5490424681
150	0.5476456192
151	0.5465082576
152	0.5451526517
153	0.5442420981
154	0.5432831097
155	0.5421313661
156	0.541152574
157	0.5400494044
158	0.5390275157
159	0.5379746843
160	0.5373887557
161	0.5361651749
162	0.535468341
163	0.5344331767
164	0.5332033494
165	0.5323698455
166	0.5312394224
167	0.5306267529
168	0.5291150132
169	0.5283864046
170	0.5274856737
171	0.5265911434
172	0.5255036931
173	0.5250193826
174	0.5238234392
175	0.5231199624
176	0.5222829987
177	0.5216790574
178	0.5210988716
179	0.51975049
180	0.5192441752
181	0.5189064319
182	0.5184613603
183	0.5167058387
184	0.5161158697
185	0.5155144864
186	0.5143353233
187	0.5135889779
188	0.5126747816
189	0.5118293517
190	0.5112389739
191	0.5103793178
192	0.5096430066
193	0.5086568979
194	0.507847755
195	0.5069793263
196	0.5064330199
197	0.5056039519
198	0.5046400887
199	0.5041913324
200	0.5031500953
201	0.5022820353
202	0.5014351972
203	0.500764285
204	0.4995921771
205	0.4987850813
206	0.4979730539
207	0.4968411982
208	0.4955155146
209	0.4947789042
210	0.494468144
211	0.4939580376
212	0.4933810502
213	0.4923215304
214	0.4915207597
215	0.490791776
216	0.4900043036
217	0.4897377273
218	0.4893295737
219	0.488976134
220	0.4879829918
221	0.4868961211
222	0.4863657433
223	0.4860210401
224	0.4854441082
225	0.4845682971
226	0.4832117946
227	0.4827975698
228	0.48202458
229	0.4813096243
230	0.4806379827
231	0.4799260622
232	0.4792072626
233	0.4779440344
234	0.4776347759
235	0.4768011047
236	0.4758201313
237	0.4750993686
238	0.4745605575
239	0.473686653
240	0.4732221398
241	0.4720838771
242	0.4710988271
243	0.4704742635
244	0.4695876303
245	0.4685780828
246	0.4682321277
247	0.4679326684
248	0.4672251959
249	0.4661813261
250	0.4659127591
251	0.4651047959
252	0.4646607992
253	0.4637578578
254	0.4630654942
255	0.4626350392
256	0.46174344
257	0.4607728009
258	0.4602192416
259	0.4598443783
260	0.4592823547
261	0.4586828371
262	0.4576779965
263	0.456734781
264	0.4562258983
265	0.4558354159
266	0.4554904652
267	0.4547867207
268	0.4542602311
269	0.4535724776
270	0.4533336812
271	0.4528815857
272	0.4525574456
273	0.451890537
274	0.4515004943
275	0.4512579259
276	0.4506903971
277	0.4500867291
278	0.4493149465
279	0.4487620573
280	0.4484554731
281	0.4475405258
282	0.447179426
283	0.446548535
284	0.4460263375
285	0.4454493526
286	0.4448211037
287	0.4442924996
288	0.4438480665
289	0.4428474788
290	0.4425322302
291	0.4421458588
292	0.4415432704
293	0.44103618
294	0.4406758031
295	0.440271676
296	0.4397506497
297	0.4393689962
298	0.4389156072
299	0.4383657868
300	0.4380861663
301	0.4375812917
302	0.437163354
303	0.436163652
304	0.4357608021
305	0.4352061903
306	0.4348362908
307	0.4343814617
308	0.434133268
309	0.4336949799
310	0.433307266
311	0.4327585647
312	0.4325221191
313	0.4319617402
314	0.4315664092
315	0.4309366921
316	0.4303606242
317	0.4301183602
318	0.4292815284
319	0.428942294
320	0.4285990499
321	0.4282655022
322	0.4276834507
323	0.4274472168
324	0.4271257568
325	0.4266855971
326	0.4260685211
327	0.4257825666
328	0.425525704
329	0.4246787549
330	0.4243276535
331	0.4241392798
332	0.423755394
333	0.4234599161
334	0.4231469879
335	0.4229693612
336	0.422474619
337	0.421958792
338	0.4214235882
339	0.4209236119
340	0.4205419302
341	0.4201085689
342	0.4194931698
343	0.4187124309
344	0.418422783
345	0.4180945573
346	0.4176482837
347	0.4174251466
348	0.4172075314
349	0.4168799689
350	0.4165266341
351	0.416259987
352	0.4158709989
353	0.4154543509
354	0.4150191434
355	0.4146258755
356	0.4139121329
357	0.4135701139
358	0.4131774086
359	0.4129608019
360	0.4125615702
361	0.412099069
362	0.4116735621
363	0.4113687372
364	0.4110402048
365	0.4104751945
366	0.4101989118
367	0.4097274009
368	0.4092992459
369	0.4091039977
370	0.408594039
371	0.4084064222
372	0.4077459903
373	0.4071374761
374	0.4069332756
375	0.4065243526
376	0.4061554919
377	0.4059078522
378	0.4055018213
379	0.4051313242
380	0.40451942
381	0.4043924736
382	0.404223701
383	0.4039342242
384	0.4034872183
385	0.403336433
386	0.4029067503
387	0.4026096543
388	0.402422902
389	0.4020703547
390	0.4018587436
391	0.4014838556
392	0.4011575158
393	0.4007796799
394	0.4006718969
395	0.4001850577
396	0.3999553215
397	0.3996572357
398	0.3995151779
399	0.399107366
400	0.3985486696
401	0.3983688546
402	0.3981552211
403	0.3978213241
404	0.3973309917
405	0.3971572411
406	0.3970195822
407	0.3967115295
408	0.3962471782
409	0.396008807
410	0.395442374
411	0.3952036113
412	0.3947993864
413	0.3944646843
414	0.3941370823
415	0.3938746752
416	0.3937047632
417	0.3931230095
418	0.3927229005
419	0.3921446439
420	0.3917275993
421	0.39152058
422	0.3913602421
423	0.3910879446
424	0.3906458897
425	0.3904690067
426	0.3901158973
427	0.3899170402
428	0.3893424662
429	0.3891608718
430	0.3885237843
431	0.3882883019
432	0.3878958628
433	0.3875760322
434	0.3871608169
435	0.3869604813
436	0.3867329002
437	0.3862117962
438	0.3858799508
439	0.3855209696
440	0.3852101624
441	0.3847832183
442	0.3845873686
443	0.3843140471
444	0.3840771672
445	0.3839908585
446	0.383570896
447	0.3834127855
448	0.3833156252
449	0.3830379166
450	0.3827963064
451	0.3826416969
452	0.3825105662
453	0.3822216829
454	0.3820845401
455	0.3819231585
456	0.381798471
457	0.3816027163
458	0.381496373
459	0.3813542915
460	0.3810110296
461	0.380701834
462	0.3805694998
463	0.3802183731
464	0.3799417263
465	0.3796836013
466	0.3794711752
467	0.3790947178
468	0.3790157566
469	0.3786630323
470	0.3783695568
471	0.3781126768
472	0.3778673021
473	0.3775021466
474	0.377326248
475	0.3770700951
476	0.376913148
477	0.3765398402
478	0.376128367
479	0.3758253817
480	0.375550935
481	0.3751732542
482	0.3747673085
483	0.374354885
484	0.3738944427
485	0.3736781304
486	0.3733671751
487	0.3732252535
488	0.3729643923
489	0.372715585
490	0.3724194037
491	0.3720465458
492	0.3715977046
493	0.3714219706
494	0.3711859276
495	0.3706489001
496	0.3704096734
497	0.370103597
498	0.369804409
499	0.3696073626
